time, P0_az, P0_el, P0_rg, P1_az, P1_el, P1_rg, P2_az, P2_el, P2_rg, P3_az, P3_el, P3_rg
0.0, 150.47078949, 12.62146525, 9121.29216040, 246.19022791, 5.86179468, 19278.79705749, 309.35172229, 4.93410043, 22775.29575983, 16.96165326, 7.50521557, 15167.84742566
1.0, 150.43339097, 12.57664443, 9119.74091743, 246.19473327, 5.84549449, 19272.37682460, 309.36184091, 4.91065772, 22772.27761165, 16.97670588, 7.47037736, 15170.54618436
2.0, 150.39057895, 12.52181065, 9116.60527684, 246.19967746, 5.81842135, 19265.20476407, 309.37506411, 4.89958611, 22770.53828541, 16.98517981, 7.44430684, 15175.16402042
3.0, 150.34421817, 12.47656094, 9111.88557837, 246.21324062, 5.80366465, 19257.28097060, 309.40456942, 4.88657411, 22770.07886469, 16.99687447, 7.40343597, 15181.70036829
4.0, 150.28990392, 12.45331036, 9105.58265350, 246.23185567, 5.78955137, 19248.60607438, 309.42213800, 4.85464686, 22770.90074441, 17.00999320, 7.38033609, 15190.15472632
5.0, 150.23269670, 12.41109465, 9097.69782819, 246.25641269, 5.77032341, 19239.18124245, 309.45552587, 4.83635430, 22773.00563015, 17.01534668, 7.34633098, 15200.52665725
6.0, 150.16201426, 12.37931380, 9088.23292689, 246.27881982, 5.74982495, 19229.00818034, 309.48165064, 4.82329775, 22776.39553707, 17.01254737, 7.32018711, 15212.81578857
7.0, 150.09222975, 12.36371052, 9077.19027787, 246.31052145, 5.72842889, 19218.08913411, 309.52443229, 4.80280303, 22781.07278866, 17.01888507, 7.28535963, 15227.02181280
8.0, 150.01656382, 12.33811766, 9064.57271992, 246.34823018, 5.72328108, 19206.42689259, 309.56619315, 4.78572943, 22787.04001521, 17.02095744, 7.24928303, 15243.14448758
9.0, 149.92663132, 12.32085249, 9050.38361043, 246.40080610, 5.71410639, 19194.02479005, 309.60642996, 4.77180170, 22794.30015198, 17.02014642, 7.22715565, 15261.18363569
10.0, 149.83057622, 12.30629967, 9034.62683479, 246.44732487, 5.69298876, 19180.88670914, 309.65724105, 4.75257212, 22802.85643715, 17.02039510, 7.19225279, 15281.13914491
11.0, 149.72451763, 12.30800638, 9017.30681738, 246.49895828, 5.69238594, 19167.01708413, 309.70751639, 4.74090587, 22812.71240951, 17.00232801, 7.16496833, 15303.01096782
12.0, 149.61865366, 12.30528235, 8998.42853395, 246.56312591, 5.66949685, 19152.42090454, 309.75951612, 4.73301503, 22823.87190588, 16.99478070, 7.13694736, 15326.79912139
13.0, 149.50710802, 12.30303024, 8977.99752559, 246.62479698, 5.66450111, 19137.10371904, 309.81348948, 4.71818214, 22836.33905827, 16.98632054, 7.10400090, 15352.50368653
14.0, 149.38436193, 12.30208512, 8956.01991429, 246.70334985, 5.65727386, 19121.07163965, 309.88104738, 4.70140841, 22850.11829080, 16.97150442, 7.08371480, 15380.12480748
15.0, 149.25572371, 12.31451335, 8932.50242025, 246.78050581, 5.66244625, 19104.33134634, 309.93844288, 4.69343685, 22865.21431638, 16.95520688, 7.05422554, 15409.66269110
16.0, 149.11426374, 12.33131663, 8907.45238086, 246.85760090, 5.64421346, 19086.89009189, 310.02037395, 4.67637094, 22881.63213313, 16.94355696, 7.03427684, 15441.11760606
17.0, 148.97557037, 12.34965939, 8880.87777158, 246.95097232, 5.65132729, 19068.75570708, 310.08555985, 4.67252433, 22899.37702054, 16.93017941, 7.00597460, 15474.48988194
18.0, 148.82689358, 12.36791658, 8852.78722873, 247.04470802, 5.65101094, 19049.93660617, 310.16195658, 4.66001283, 22918.45453543, 16.90100797, 6.97800526, 15509.77990816
19.0, 148.66921780, 12.39688294, 8823.19007431, 247.14056842, 5.64970627, 19030.44179280, 310.25418104, 4.64587116, 22938.87050767, 16.88412807, 6.95538326, 15546.98813288
20.0, 148.50438564, 12.43160358, 8792.09634301, 247.23620744, 5.64352062, 19010.28086605, 310.32892929, 4.64040661, 22960.63103562, 16.86341142, 6.92930479, 15586.11506179
21.0, 148.32701927, 12.47131434, 8759.51681138, 247.35422757, 5.64998390, 18989.46402693, 310.41823917, 4.63477389, 22983.74248140, 16.82531985, 6.90269571, 15627.16125680
22.0, 148.13419703, 12.51540697, 8725.46302955, 247.46902779, 5.65854901, 18968.00208511, 310.51627539, 4.62824052, 23008.21146591, 16.79952102, 6.87907962, 15670.12733464
23.0, 147.95268396, 12.56364355, 8689.94735531, 247.59698447, 5.65692308, 18945.90646600, 310.60883532, 4.62652663, 23034.04486363, 16.75800680, 6.85487136, 15715.01396540
24.0, 147.74261648, 12.61827465, 8652.98299102, 247.73421901, 5.66506818, 18923.18921807, 310.70697231, 4.61231418, 23061.24979724, 16.73893970, 6.83993542, 15761.82187100
25.0, 147.53789648, 12.67897760, 8614.58402332, 247.86865920, 5.67256153, 18899.86302052, 310.81208589, 4.60458713, 23089.83363198, 16.69387557, 6.81232885, 15810.55182352
26.0, 147.32073692, 12.73908124, 8574.76546581, 247.99840358, 5.67943972, 18875.94119118, 310.91310268, 4.60001990, 23119.80396988, 16.66163201, 6.79016244, 15861.20464362
27.0, 147.09373786, 12.79757118, 8533.54330506, 248.14495438, 5.69022857, 18851.43769473, 311.02242057, 4.59172284, 23151.16864372, 16.61614128, 6.77239080, 15913.78119871
28.0, 146.85213151, 12.87406636, 8490.93454997, 248.29542360, 5.70253037, 18826.36715116, 311.13453619, 4.59091319, 23183.93571087, 16.58359653, 6.75979716, 15968.28240122
29.0, 146.60373893, 12.95078300, 8446.95728481, 248.46218001, 5.71425717, 18800.74484454, 311.25346244, 4.58179654, 23218.11344688, 16.54448827, 6.72744658, 16024.70920675
30.0, 146.33911284, 13.04367687, 8401.63072611, 248.62258826, 5.72609115, 18774.58673196, 311.36438490, 4.58230558, 23253.71033900, 16.49527650, 6.71288205, 16083.06261220
31.0, 146.07439206, 13.13108595, 8354.97528371, 248.78784065, 5.73305561, 18747.90945276, 311.49747326, 4.58115698, 23290.73507941, 16.44836356, 6.68916607, 16143.34365384
32.0, 145.79971518, 13.22578446, 8307.01262619, 248.97228146, 5.76313808, 18720.73033802, 311.61260540, 4.58317448, 23329.19655837, 16.40781517, 6.67544326, 16205.55340541
33.0, 145.50346539, 13.32037375, 8257.76575103, 249.14890563, 5.77595113, 18693.06742019, 311.75026081, 4.57808922, 23369.10385724, 16.36062361, 6.66402601, 16269.69297608
34.0, 145.19908319, 13.43449564, 8207.25905971, 249.34240980, 5.78837625, 18664.93944296, 311.87292581, 4.57979997, 23410.46624125, 16.29866779, 6.64509773, 16335.76350856
35.0, 144.88034390, 13.54145265, 8155.51843810, 249.53338699, 5.81726295, 18636.36587134, 312.00550930, 4.57929740, 23453.29315227, 16.25752374, 6.62914904, 16403.76617702
36.0, 144.55348783, 13.66578957, 8102.57134262, 249.73422770, 5.83364630, 18607.36690179, 312.15130484, 4.57315757, 23497.59420135, 16.20092435, 6.61403054, 16473.70218513
37.0, 144.21198473, 13.78636703, 8048.44689224, 249.95070857, 5.85245644, 18577.96347269, 312.28664014, 4.57759970, 23543.37916118, 16.14931536, 6.60412020, 16545.57276402
38.0, 143.85369452, 13.92205696, 7993.17596698, 250.16774350, 5.88178704, 18548.17727471, 312.43407336, 4.58195001, 23590.65795848, 16.09358359, 6.58522826, 16619.37917028
39.0, 143.48746990, 14.05709259, 7936.79131311, 250.37710110, 5.90800084, 18518.03076146, 312.58681389, 4.58178129, 23639.44066623, 16.03555596, 6.57515352, 16695.12268398
40.0, 143.10540344, 14.20445475, 7879.32765556, 250.60494202, 5.93258304, 18487.54716013, 312.73011595, 4.58610899, 23689.73749583, 15.97744565, 6.55385531, 16772.80460661
41.0, 142.70174856, 14.35343884, 7820.82181783, 250.83979548, 5.96747191, 18456.75048215, 312.88312038, 4.58628780, 23741.55878922, 15.92078721, 6.54439581, 16852.42625919
42.0, 142.29342427, 14.50684589, 7761.31285002, 251.08338506, 5.98608015, 18425.66553396, 313.03312333, 4.58897804, 23794.91501085, 15.84811923, 6.53037566, 16933.98898022
43.0, 141.86166898, 14.67936698, 7700.84216514, 251.33714473, 6.02260549, 18394.31792771, 313.20206413, 4.59569005, 23849.81673968, 15.79049542, 6.52306953, 17017.49412382
44.0, 141.40665501, 14.84880975, 7639.45368438, 251.58690769, 6.05009064, 18362.73409187, 313.35743041, 4.59664683, 23906.27466107, 15.72535112, 6.49702272, 17102.94305777
45.0, 140.95040329, 15.03072917, 7577.19399158, 251.84253502, 6.08686427, 18330.94128185, 313.52473639, 4.60567612, 23964.29955862, 15.66668919, 6.49465958, 17190.33716167
46.0, 140.46310034, 15.21658590, 7514.11249739, 252.11558465, 6.11899431, 18298.96759043, 313.69032840, 4.61035690, 24023.90230607, 15.59310886, 6.49043827, 17279.67782504
47.0, 139.96124129, 15.41327039, 7450.26161336, 252.38702820, 6.14716238, 18266.84195802, 313.85644442, 4.62035841, 24085.09385905, 15.52791676, 6.48577782, 17370.96644559
48.0, 139.43207491, 15.61668900, 7385.69693656, 252.67051634, 6.19299257, 18234.59418276, 314.02631141, 4.61869754, 24147.88524690, 15.46322927, 6.47384703, 17464.20442739
49.0, 138.88812489, 15.81904517, 7320.47744459, 252.95821042, 6.23198646, 18202.25493030, 314.20713100, 4.64078803, 24212.28756453, 15.39182052, 6.46239914, 17559.39317917
50.0, 138.31902873, 16.05399836, 7254.66570158, 253.25861226, 6.26248153, 18169.85574330, 314.38763449, 4.64161486, 24278.31196414, 15.32586839, 6.45854145, 17656.53411264
51.0, 137.73837078, 16.27476708, 7188.32807498, 253.54322144, 6.30270288, 18137.42905055, 314.55655678, 4.64990118, 24345.96964715, 15.24364777, 6.44987019, 17755.62864085
52.0, 137.12073817, 16.51187239, 7121.53496322, 253.86675475, 6.35816621, 18105.00817571, 314.73718329, 4.65369565, 24415.27185602, 15.18364059, 6.43587544, 17856.67817665
53.0, 136.49002142, 16.75215485, 7054.36103401, 254.18884145, 6.39314823, 18072.62734546, 314.92870200, 4.66653459, 24486.22986614, 15.10757406, 6.43255639, 17959.68413107
54.0, 135.82162651, 17.01721216, 6986.88547285, 254.51015923, 6.43644253, 18040.32169724, 315.10221845, 4.67091171, 24558.85497785, 15.03283372, 6.42584879, 18064.64791195
55.0, 135.13278767, 17.27523366, 6919.19224118, 254.84485430, 6.48848018, 18008.12728629, 315.29426140, 4.68072185, 24633.15850839, 14.96562799, 6.41947341, 18171.57092242
56.0, 134.42399330, 17.54640805, 6851.37034299, 255.17973357, 6.52887931, 17976.08109198, 315.48323541, 4.69712148, 24709.15178405, 14.88131547, 6.41320352, 18280.45455959
57.0, 133.66928705, 17.82670060, 6783.51409892, 255.52518548, 6.57707999, 17944.22102345, 315.67906772, 4.70486216, 24786.84613230, 14.80678071, 6.41483043, 18391.30021324
58.0, 132.90029299, 18.12554155, 6715.72342571, 255.88515973, 6.62426937, 17912.58592439, 315.87338727, 4.71288894, 24866.25287405, 14.73747977, 6.41449950, 18504.10926451
59.0, 132.09606286, 18.41948869, 6648.10411907, 256.24011355, 6.67030652, 17881.21557684, 316.06603597, 4.72467783, 24947.38331604, 14.65597271, 6.40410581, 18618.88308474
60.0, 131.25132322, 18.72452336, 6580.76813694, 256.60057450, 6.73398226, 17850.15070411, 316.26539517, 4.73688516, 25030.24874327, 14.57463620, 6.40159100, 18735.62303434
61.0, 130.37097860, 19.04441489, 6513.83387977, 256.97952388, 6.79130303, 17819.43297246, 316.45941230, 4.74882936, 25114.86041159, 14.49199810, 6.39625998, 18854.33046167
62.0, 129.46975783, 19.37737258, 6447.42646343, 257.36942031, 6.83324418, 17789.10499176, 316.66301966, 4.76526075, 25201.22954040, 14.42331181, 6.38976783, 18975.00670202
63.0, 128.51884883, 19.70758066, 6381.67797968, 257.76096978, 6.88829442, 17759.21031472, 316.86859413, 4.77223038, 25289.36730553, 14.34386510, 6.38828625, 19097.65307667
64.0, 127.53199383, 20.05617760, 6316.72773817, 258.16390221, 6.95141484, 17729.79343489, 317.07019109, 4.78550483, 25379.28483214, 14.25688106, 6.39397698, 19222.27089193
65.0, 126.50775894, 20.40513917, 6252.72248281, 258.57558315, 6.99643288, 17700.89978313, 317.27898900, 4.80187990, 25470.99318792, 14.17344351, 6.38849576, 19348.86143835
66.0, 125.43585245, 20.76599016, 6189.81657424, 258.98536716, 7.06107544, 17672.57572251, 317.48166014, 4.81310262, 25564.50337633, 14.09847156, 6.39067394, 19477.42598982
67.0, 124.33074238, 21.12029797, 6128.17212923, 259.40504977, 7.12592701, 17644.86854159, 317.69794229, 4.83965699, 25659.82633006, 14.01746539, 6.38519453, 19607.96580292
68.0, 123.17666691, 21.51032293, 6067.95910624, 259.83129315, 7.17854835, 17617.82644594, 317.90237910, 4.84065837, 25756.97290464, 13.94097548, 6.38946193, 19740.48211618
69.0, 121.96587995, 21.88293416, 6009.35532579, 260.27555610, 7.24680050, 17591.49854775, 318.11332500, 4.85948573, 25855.95387224, 13.85689062, 6.39240005, 19874.97614945
70.0, 120.72458847, 22.27063852, 5952.54641267, 260.72291725, 7.31020569, 17565.93485353, 318.32525803, 4.87485840, 25956.77991560, 13.77305108, 6.38985963, 20011.44910331
71.0, 119.42132307, 22.65568174, 5897.72564684, 261.16931783, 7.36590174, 17541.18624976, 318.54742096, 4.89350374, 26059.46162226, 13.69362974, 6.39291206, 20149.90215854
72.0, 118.07838561, 23.05018049, 5845.09370863, 261.62887158, 7.42952595, 17517.30448629, 318.75724183, 4.90618142, 26164.00947883, 13.60652348, 6.38713873, 20290.33647563
73.0, 116.68151268, 23.43854908, 5794.85830430, 262.09682248, 7.50173213, 17494.34215766, 318.98051006, 4.92186022, 26270.43386558, 13.53894037, 6.39199065, 20432.75319434
74.0, 115.23176935, 23.83146600, 5747.23365786, 262.57640346, 7.56426709, 17472.35268189, 319.18669475, 4.93572632, 26378.74505116, 13.44318844, 6.39501454, 20577.15343332
75.0, 113.73655150, 24.22539695, 5702.43985642, 263.06023551, 7.64135822, 17451.39027694, 319.40872376, 4.95581454, 26488.95318758, 13.36540327, 6.40012634, 20723.53828977
76.0, 112.17390444, 24.61523721, 5660.70203783, 263.55346200, 7.69854961, 17431.50993467, 319.63811910, 4.96639796, 26601.06830533, 13.28477150, 6.39536248, 20871.90883909
77.0, 110.57198872, 25.00542341, 5622.24941220, 264.05363573, 7.77770268, 17412.76739218, 319.85326710, 4.98361664, 26715.10030875, 13.20433057, 6.40593840, 21022.26613471
78.0, 108.91287420, 25.38333422, 5587.31411251, 264.57242850, 7.84698501, 17395.21910045, 320.06991737, 5.00201749, 26831.05897164, 13.11587143, 6.40347015, 21174.61120779
79.0, 107.20300305, 25.75417797, 5556.12987407, 265.08347113, 7.91663477, 17378.92219034, 320.29604024, 5.02307676, 26948.95393302, 13.03695232, 6.40247099, 21328.94506708
80.0, 105.45110048, 26.10740912, 5528.93054851, 265.60261065, 7.98778612, 17363.93443579, 320.51950580, 5.03957477, 27068.79469314, 12.95438067, 6.40623663, 21485.26869879
81.0, 103.63976862, 26.45897387, 5505.94846415, 266.13063895, 8.05948018, 17350.31421415, 320.73506964, 5.05455682, 27190.59060973, 12.86806211, 6.41788142, 21643.58306647
82.0, 101.78185388, 26.78919311, 5487.41265228, 266.67279949, 8.13497344, 17338.12046376, 320.96215861, 5.07976591, 27314.35089442, 12.79177606, 6.41711768, 21803.88911094
83.0, 99.87544639, 27.10131754, 5473.54696608, 267.21811260, 8.20412453, 17327.41263862, 321.19069339, 5.09448119, 27440.08460943, 12.70915776, 6.41992439, 21966.18775027
84.0, 97.94073554, 27.39449529, 5464.56812660, 267.77087616, 8.28049437, 17318.25066018, 321.41371203, 5.11400234, 27567.80066441, 12.61754888, 6.43120361, 22130.47987978
85.0, 95.96075946, 27.67083268, 5460.68373718, 268.33508095, 8.35362027, 17310.69486635, 321.64144436, 5.12771261, 27697.50781359, 12.54409449, 6.42921453, 22296.76637205
86.0, 93.94653683, 27.90474195, 5462.09031340, 268.90106612, 8.42329843, 17304.80595759, 321.86833461, 5.15605968, 27829.21465306, 12.45678797, 6.43674396, 22465.04807699
87.0, 91.91328214, 28.13233390, 5468.97137979, 269.47378188, 8.50129955, 17300.64494031, 322.09444607, 5.17430570, 27962.92961833, 12.37147963, 6.44629103, 22635.32582191
88.0, 89.84881150, 28.31963899, 5481.49568649, 270.05133860, 8.57529753, 17298.27306751, 322.31833966, 5.18547133, 28098.66098205, 12.29567729, 6.44525835, 22807.60041166
89.0, 87.75808064, 28.48229149, 5499.81559836, 270.64905873, 8.65664829, 17297.75177683, 322.54824904, 5.20297842, 28236.41685200, 12.20943624, 6.46081790, 22981.87262873
90.0, 85.66580551, 28.61988272, 5524.06570543, 271.23928067, 8.73051443, 17299.14262599, 322.78204900, 5.22157832, 28376.20516924, 12.12840413, 6.46495058, 23158.14323341
