timeSec, trackE, trackF, trackG, P0_mode, P0_rg, P0_az, P0_el, P1_mode, P1_rg, P1_az, P1_el, P2_mode, P2_rg, P2_az, P2_el, P3_mode, P3_rg, P3_az, P3_el
0.0,3135469.455905823,-5452748.505016277,1111908.801349936,0,NaN,179.99639381564631,84.29773054566253,0,NaN,-92.58632352779287,24.376773023093136,0,NaN,-46.05322139717262,18.03014666034636,0,NaN,2.098436285535854E-4,25.2228446652753,
0.02,3135473.3222653233,-5452746.281760957,1111908.801349936,0,NaN,179.74550539047274,84.28753849073769,0,NaN,-92.58970996899849,24.38787959660281,0,NaN,-46.04444261352744,18.034999668033795,0,NaN,0.012330346550286173,25.22452464617615,
0.04,3135477.1886248235,-5452744.058505638,1111908.801349936,0,NaN,179.48600768204162,84.28913412852715,0,NaN,-92.59365640596762,24.391486548961854,0,NaN,-46.03849119366059,18.036956546845403,0,NaN,0.022595092994669965,25.222717895456174,
0.06,3135481.0549843237,-5452741.835250319,1111908.801349936,0,NaN,179.23643775773283,84.28626727077814,0,NaN,-92.59312228009537,24.40093410303085,0,NaN,-46.03215145264843,18.02769205864106,0,NaN,0.04095911520927364,25.220779443739556,
0.08,3135484.921343824,-5452739.611994999,1111908.801349936,0,NaN,178.97626288015968,84.28843807332949,0,NaN,-92.59235510783022,24.39435332243965,0,NaN,-46.027058641488836,18.037952738094376,0,NaN,0.04064784318997616,25.222012845903446,
0.1,3135488.787703324,-5452737.38873968,1111908.801349936,0,NaN,178.721654248471,84.29182152325424,0,NaN,-92.58407208195055,24.405334243886692,0,NaN,-46.0111326988515,18.031708177354293,0,NaN,0.06513006684079599,25.216630744776804,
0.12,3135492.6540628243,-5452735.16548436,1111908.801349936,0,NaN,178.46966353438864,84.28188200682534,0,NaN,-92.59096194341782,24.40864779654836,0,NaN,-46.01164048982868,18.038172722376405,0,NaN,0.0758442942115786,25.225462880135098,
0.14,3135496.5204223245,-5452732.942229042,1111908.801349936,0,NaN,178.21254700891149,84.28709434879981,0,NaN,-92.59384093329304,24.41615785644421,0,NaN,-46.014266977127015,18.05014322569083,0,NaN,0.08757834582845109,25.223032704641042,
0.16,3135500.3867818248,-5452730.718973722,1111908.801349936,0,NaN,177.9507572662767,84.2881950460575,0,NaN,-92.59715863719161,24.4202428202156,0,NaN,-46.007910775666645,18.04662161099126,0,NaN,0.093773978518997,25.22208770280873,
0.18,3135504.253141325,-5452728.495718403,1111908.801349936,0,NaN,177.70668656681045,84.28764113443205,0,NaN,-92.59951042740163,24.420583160763783,0,NaN,-45.99795662363085,18.046270222267943,0,NaN,0.10504632549210019,25.218341636179556,
